"index","county","report","offense","action","year","value"
"1","Alameda","Caseload","Total",NA,2005,17083
"1","Alameda","Caseload","Felony",NA,2005,15671
"1","Alameda","Caseload","Misdemeanor",NA,2005,1412
"1","Alameda","Actions","Total","Placed on Probation",2005,6008
"1","Alameda","Actions","Total","Removed from Probation",2005,6224
"1","Alameda","Actions","Total","Terminated",2005,2851
"1","Alameda","Actions","Total","Revoked",2005,1737
"1","Alameda","Actions","Total","Other",2005,1636
"1","Alameda","Actions","Felony","Placed on Probation",2005,5456
"1","Alameda","Actions","Felony","Removed from Probation",2005,5430
"1","Alameda","Actions","Felony","Terminated",2005,2518
"1","Alameda","Actions","Felony","Revoked",2005,1499
"1","Alameda","Actions","Felony","Other",2005,1413
"1","Alameda","Actions","Misdemeanor","Placed on Probation",2005,552
"1","Alameda","Actions","Misdemeanor","Removed from Probation",2005,794
"1","Alameda","Actions","Misdemeanor","Terminated",2005,333
"1","Alameda","Actions","Misdemeanor","Revoked",2005,238
"1","Alameda","Actions","Misdemeanor","Other",2005,223
"1","Alameda","Caseload","Total",NA,2006,16927
"1","Alameda","Caseload","Felony",NA,2006,15572
"1","Alameda","Caseload","Misdemeanor",NA,2006,1355
"1","Alameda","Actions","Total","Placed on Probation",2006,5902
"1","Alameda","Actions","Total","Removed from Probation",2006,6058
"1","Alameda","Actions","Total","Terminated",2006,2454
"1","Alameda","Actions","Total","Revoked",2006,1535
"1","Alameda","Actions","Total","Other",2006,2069
"1","Alameda","Actions","Felony","Placed on Probation",2006,5051
"1","Alameda","Actions","Felony","Removed from Probation",2006,5150
"1","Alameda","Actions","Felony","Terminated",2006,2223
"1","Alameda","Actions","Felony","Revoked",2006,1277
"1","Alameda","Actions","Felony","Other",2006,1650
"1","Alameda","Actions","Misdemeanor","Placed on Probation",2006,851
"1","Alameda","Actions","Misdemeanor","Removed from Probation",2006,908
"1","Alameda","Actions","Misdemeanor","Terminated",2006,231
"1","Alameda","Actions","Misdemeanor","Revoked",2006,258
"1","Alameda","Actions","Misdemeanor","Other",2006,419
"1","Alameda","Caseload","Total",NA,2007,16523
"1","Alameda","Caseload","Felony",NA,2007,15498
"1","Alameda","Caseload","Misdemeanor",NA,2007,1025
"1","Alameda","Actions","Total","Placed on Probation",2007,5510
"1","Alameda","Actions","Total","Removed from Probation",2007,5914
"1","Alameda","Actions","Total","Terminated",2007,2671
"1","Alameda","Actions","Total","Revoked",2007,1364
"1","Alameda","Actions","Total","Other",2007,1879
"1","Alameda","Actions","Felony","Placed on Probation",2007,4996
"1","Alameda","Actions","Felony","Removed from Probation",2007,5070
"1","Alameda","Actions","Felony","Terminated",2007,2413
"1","Alameda","Actions","Felony","Revoked",2007,1187
"1","Alameda","Actions","Felony","Other",2007,1470
"1","Alameda","Actions","Misdemeanor","Placed on Probation",2007,514
"1","Alameda","Actions","Misdemeanor","Removed from Probation",2007,844
"1","Alameda","Actions","Misdemeanor","Terminated",2007,258
"1","Alameda","Actions","Misdemeanor","Revoked",2007,177
"1","Alameda","Actions","Misdemeanor","Other",2007,409
"1","Alameda","Caseload","Total",NA,2008,16224
"1","Alameda","Caseload","Felony",NA,2008,15394
"1","Alameda","Caseload","Misdemeanor",NA,2008,830
"1","Alameda","Actions","Total","Placed on Probation",2008,5422
"1","Alameda","Actions","Total","Removed from Probation",2008,5721
"1","Alameda","Actions","Total","Terminated",2008,2374
"1","Alameda","Actions","Total","Revoked",2008,1264
"1","Alameda","Actions","Total","Other",2008,2083
"1","Alameda","Actions","Felony","Placed on Probation",2008,5044
"1","Alameda","Actions","Felony","Removed from Probation",2008,5148
"1","Alameda","Actions","Felony","Terminated",2008,2243
"1","Alameda","Actions","Felony","Revoked",2008,1121
"1","Alameda","Actions","Felony","Other",2008,1784
"1","Alameda","Actions","Misdemeanor","Placed on Probation",2008,378
"1","Alameda","Actions","Misdemeanor","Removed from Probation",2008,573
"1","Alameda","Actions","Misdemeanor","Terminated",2008,131
"1","Alameda","Actions","Misdemeanor","Revoked",2008,143
"1","Alameda","Actions","Misdemeanor","Other",2008,299
"1","Alameda","Caseload","Total",NA,2009,15548
"1","Alameda","Caseload","Felony",NA,2009,14834
"1","Alameda","Caseload","Misdemeanor",NA,2009,714
"1","Alameda","Actions","Total","Placed on Probation",2009,5084
"1","Alameda","Actions","Total","Removed from Probation",2009,5760
"1","Alameda","Actions","Total","Terminated",2009,2458
"1","Alameda","Actions","Total","Revoked",2009,1295
"1","Alameda","Actions","Total","Other",2009,2007
"1","Alameda","Actions","Felony","Placed on Probation",2009,4786
"1","Alameda","Actions","Felony","Removed from Probation",2009,5346
"1","Alameda","Actions","Felony","Terminated",2009,2303
"1","Alameda","Actions","Felony","Revoked",2009,1189
"1","Alameda","Actions","Felony","Other",2009,1854
"1","Alameda","Actions","Misdemeanor","Placed on Probation",2009,298
"1","Alameda","Actions","Misdemeanor","Removed from Probation",2009,414
"1","Alameda","Actions","Misdemeanor","Terminated",2009,155
"1","Alameda","Actions","Misdemeanor","Revoked",2009,106
"1","Alameda","Actions","Misdemeanor","Other",2009,153
"1","Alameda","Caseload","Total",NA,2010,14673
"1","Alameda","Caseload","Felony",NA,2010,14168
"1","Alameda","Caseload","Misdemeanor",NA,2010,505
"1","Alameda","Actions","Total","Placed on Probation",2010,5173
"1","Alameda","Actions","Total","Removed from Probation",2010,6048
"1","Alameda","Actions","Total","Terminated",2010,2597
"1","Alameda","Actions","Total","Revoked",2010,1283
"1","Alameda","Actions","Total","Other",2010,2168
"1","Alameda","Actions","Felony","Placed on Probation",2010,4969
"1","Alameda","Actions","Felony","Removed from Probation",2010,5635
"1","Alameda","Actions","Felony","Terminated",2010,2505
"1","Alameda","Actions","Felony","Revoked",2010,1173
"1","Alameda","Actions","Felony","Other",2010,1957
"1","Alameda","Actions","Misdemeanor","Placed on Probation",2010,204
"1","Alameda","Actions","Misdemeanor","Removed from Probation",2010,413
"1","Alameda","Actions","Misdemeanor","Terminated",2010,92
"1","Alameda","Actions","Misdemeanor","Revoked",2010,110
"1","Alameda","Actions","Misdemeanor","Other",2010,211
"1","Alameda","Caseload","Total",NA,2011,14020
"1","Alameda","Caseload","Felony",NA,2011,13556
"1","Alameda","Caseload","Misdemeanor",NA,2011,464
"1","Alameda","Actions","Total","Placed on Probation",2011,4410
"1","Alameda","Actions","Total","Removed from Probation",2011,5063
"1","Alameda","Actions","Total","Terminated",2011,2440
"1","Alameda","Actions","Total","Revoked",2011,1038
"1","Alameda","Actions","Total","Other",2011,1585
"1","Alameda","Actions","Felony","Placed on Probation",2011,4293
"1","Alameda","Actions","Felony","Removed from Probation",2011,4905
"1","Alameda","Actions","Felony","Terminated",2011,2355
